TimeStamp;Температура воздуха на входе в газогенератор (Расчетная);0 - Bad, 1 - Good
12:10:02.069;5.438;1
12:10:02.092;5.438;1
12:10:02.116;5.438;1
12:10:02.140;5.438;1
12:10:02.161;5.426;1
12:10:02.184;5.426;1
12:10:02.208;5.426;1
12:10:02.231;5.426;1
12:10:02.254;5.426;1
12:10:02.278;5.426;1
12:10:02.301;5.426;1
12:10:02.325;5.403;1
12:10:02.345;5.403;1
12:10:02.368;5.403;1
12:10:02.392;5.403;1
12:10:02.415;5.403;1
12:10:02.437;5.403;1
12:10:02.463;5.403;1
12:10:02.487;5.403;1
12:10:02.508;5.403;1
12:10:02.529;5.403;1
12:10:02.553;5.403;1
12:10:02.576;5.403;1
12:10:02.598;5.403;1
12:10:02.621;5.403;1
12:10:02.644;5.392;1
12:10:02.670;5.392;1
12:10:02.690;5.392;1
12:10:02.713;5.392;1
12:10:02.737;5.392;1
12:10:02.763;5.392;1
12:10:02.785;5.368;1
12:10:02.807;5.368;1
12:10:02.831;5.368;1
12:10:02.854;5.368;1
12:10:02.875;5.368;1
12:10:02.899;5.368;1
12:10:02.923;5.368;1
12:10:02.945;5.368;1
12:10:02.967;5.368;1
12:10:02.990;5.368;1
12:10:03.014;5.368;1
12:10:03.037;5.368;1
12:10:03.060;5.368;1
12:10:03.083;5.368;1
12:10:03.108;5.368;1
12:10:03.128;5.368;1
12:10:03.152;5.368;1
12:10:03.174;5.368;1
12:10:03.197;5.368;1
12:10:03.220;5.368;1
12:10:03.243;5.368;1
12:10:03.266;5.368;1
12:10:03.291;5.357;1
12:10:03.312;5.357;1
12:10:03.335;5.357;1
12:10:03.358;5.357;1
12:10:03.383;5.357;1
12:10:03.405;5.357;1
12:10:03.430;5.357;1
12:10:03.452;5.345;1
12:10:03.473;5.345;1
12:10:03.497;5.345;1
12:10:03.519;5.345;1
12:10:03.542;5.345;1
12:10:03.565;5.345;1
12:10:03.588;5.345;1
12:10:03.611;5.345;1
12:10:03.634;5.345;1
12:10:03.657;5.345;1
12:10:03.683;5.345;1
12:10:03.704;5.345;1
12:10:03.728;5.345;1
12:10:03.749;5.345;1
12:10:03.772;5.334;1
12:10:03.795;5.334;1
12:10:03.818;5.334;1
12:10:03.842;5.334;1
12:10:03.863;5.334;1
12:10:03.887;5.334;1
12:10:03.912;5.334;1
12:10:03.934;5.322;1
12:10:03.955;5.322;1
12:10:03.981;5.322;1
12:10:04.004;5.322;1
12:10:04.025;5.322;1
12:10:04.050;5.322;1
12:10:04.071;5.322;1
12:10:04.095;5.31;1
12:10:04.117;5.31;1
12:10:04.140;5.31;1
12:10:04.162;5.31;1
12:10:04.186;5.31;1
12:10:04.209;5.299;1
12:10:04.231;5.299;1
12:10:04.254;5.299;1
12:10:04.278;5.299;1
12:10:04.300;5.299;1
12:10:04.324;5.299;1
12:10:04.346;5.299;1
12:10:04.369;5.299;1
12:10:04.393;5.31;1
12:10:04.415;5.31;1
12:10:04.441;5.31;1
12:10:04.461;5.31;1
12:10:04.484;5.31;1
12:10:04.507;5.31;1
12:10:04.530;5.322;1
12:10:04.553;5.322;1
12:10:04.576;5.322;1
12:10:04.600;5.322;1
12:10:04.622;5.322;1
12:10:04.646;5.322;1
12:10:04.668;5.322;1
12:10:04.692;5.322;1
12:10:04.715;5.322;1
12:10:04.738;5.31;1
12:10:04.761;5.31;1
12:10:04.786;5.31;1
12:10:04.809;5.31;1
12:10:04.832;5.31;1
12:10:04.852;5.31;1
12:10:04.876;5.299;1
12:10:04.898;5.299;1
12:10:04.922;5.299;1
12:10:04.946;5.299;1
12:10:04.969;5.299;1
12:10:04.990;5.299;1
12:10:05.015;5.299;1
12:10:05.036;5.299;1
12:10:05.062;5.31;1
12:10:05.086;5.31;1
12:10:05.105;5.31;1
12:10:05.130;5.31;1
12:10:05.151;5.31;1
12:10:05.175;5.31;1
12:10:05.198;5.31;1
12:10:05.220;5.31;1
12:10:05.246;5.31;1
12:10:05.269;5.31;1
12:10:05.290;5.31;1
12:10:05.312;5.31;1
12:10:05.335;5.31;1
12:10:05.361;5.322;1
12:10:05.387;5.322;1
12:10:05.406;5.322;1
12:10:05.427;5.322;1
12:10:05.451;5.322;1
12:10:05.474;5.322;1
12:10:05.497;5.322;1
12:10:05.521;5.345;1
12:10:05.543;5.345;1
12:10:05.565;5.345;1
12:10:05.588;5.345;1
12:10:05.612;5.345;1
12:10:05.636;5.345;1
12:10:05.657;5.345;1
12:10:05.685;5.357;1
12:10:05.705;5.357;1
12:10:05.729;5.357;1
12:10:05.750;5.357;1
12:10:05.772;5.357;1
12:10:05.795;5.357;1
12:10:05.818;5.357;1
12:10:05.841;5.357;1
12:10:05.867;5.357;1
12:10:05.887;5.357;1
12:10:05.910;5.357;1
12:10:05.933;5.357;1
12:10:05.956;5.345;1
12:10:05.980;5.345;1
12:10:06.002;5.345;1
12:10:06.025;5.345;1
12:10:06.048;5.345;1
12:10:06.071;5.345;1
12:10:06.094;5.345;1
12:10:06.117;5.345;1
12:10:06.140;5.345;1
12:10:06.163;5.345;1
12:10:06.187;5.345;1
12:10:06.209;5.345;1
12:10:06.232;5.345;1
12:10:06.255;5.345;1
12:10:06.280;5.345;1
12:10:06.301;5.345;1
12:10:06.324;5.345;1
12:10:06.350;5.345;1
12:10:06.370;5.345;1
12:10:06.393;5.345;1
12:10:06.416;5.345;1
12:10:06.439;5.345;1
12:10:06.465;5.345;1
12:10:06.485;5.357;1
12:10:06.508;5.357;1
12:10:06.531;5.357;1
12:10:06.554;5.357;1
12:10:06.577;5.357;1
12:10:06.600;5.357;1
12:10:06.623;5.368;1
12:10:06.646;5.368;1
12:10:06.669;5.368;1
12:10:06.692;5.368;1
12:10:06.715;5.368;1
12:10:06.738;5.368;1
12:10:06.761;5.368;1
12:10:06.784;5.368;1
12:10:06.809;5.368;1
12:10:06.831;5.368;1
12:10:06.854;5.368;1
12:10:06.876;5.368;1
12:10:06.899;5.368;1
12:10:06.922;5.368;1
12:10:06.945;5.368;1
12:10:06.968;5.368;1
12:10:06.991;5.368;1
12:10:07.016;5.368;1
12:10:07.039;5.368;1
12:10:07.061;5.368;1
12:10:07.086;5.368;1
12:10:07.108;5.368;1
12:10:07.131;5.368;1
12:10:07.154;5.368;1
12:10:07.175;5.368;1
12:10:07.200;5.368;1
12:10:07.222;5.368;1
12:10:07.244;5.368;1
12:10:07.269;5.368;1
12:10:07.291;5.368;1
12:10:07.314;5.368;1
12:10:07.337;5.368;1
12:10:07.359;5.368;1
12:10:07.387;5.368;1
12:10:07.407;5.368;1
12:10:07.428;5.368;1
12:10:07.452;5.368;1
12:10:07.474;5.368;1
12:10:07.497;5.368;1
12:10:07.520;5.368;1
12:10:07.543;5.368;1
12:10:07.569;5.368;1
12:10:07.589;5.38;1
12:10:07.612;5.38;1
12:10:07.635;5.38;1
12:10:07.658;5.38;1
12:10:07.681;5.38;1
12:10:07.707;5.38;1
12:10:07.729;5.403;1
12:10:07.752;5.403;1
12:10:07.774;5.403;1
12:10:07.798;5.403;1
12:10:07.819;5.403;1
12:10:07.842;5.403;1
12:10:07.865;5.403;1
12:10:07.890;5.403;1
12:10:07.912;5.403;1
12:10:07.935;5.426;1
12:10:07.957;5.426;1
12:10:07.982;5.426;1
12:10:08.005;5.426;1
12:10:08.028;5.426;1
12:10:08.051;5.426;1
12:10:08.073;5.438;1
12:10:08.095;5.438;1
12:10:08.119;5.438;1
12:10:08.143;5.438;1
12:10:08.166;5.438;1
12:10:08.188;5.438;1
12:10:08.211;5.438;1
12:10:08.233;5.438;1
12:10:08.257;5.45;1
12:10:08.281;5.45;1
12:10:08.304;5.45;1
12:10:08.325;5.45;1
12:10:08.349;5.45;1
12:10:08.372;5.45;1
12:10:08.395;5.461;1
12:10:08.417;5.461;1
12:10:08.440;5.461;1
12:10:08.464;5.461;1
12:10:08.489;5.461;1
12:10:08.513;5.461;1
12:10:08.533;5.461;1
12:10:08.555;5.473;1
12:10:08.580;5.473;1
12:10:08.601;5.473;1
12:10:08.625;5.473;1
12:10:08.647;5.473;1
12:10:08.670;5.473;1
12:10:08.693;5.473;1
12:10:08.719;5.485;1
12:10:08.739;5.485;1
12:10:08.764;5.485;1
12:10:08.790;5.485;1
12:10:08.808;5.485;1
12:10:08.831;5.485;1
12:10:08.856;5.496;1
12:10:08.878;5.496;1
12:10:08.900;5.496;1
12:10:08.924;5.496;1
12:10:08.949;5.496;1
12:10:08.970;5.496;1
12:10:08.993;5.496;1
12:10:09.017;5.496;1
12:10:09.040;5.508;1
12:10:09.062;5.508;1
12:10:09.088;5.508;1
12:10:09.109;5.508;1
12:10:09.131;5.508;1
12:10:09.155;5.508;1
12:10:09.178;5.508;1
12:10:09.199;5.508;1
12:10:09.225;5.508;1
12:10:09.246;5.508;1
12:10:09.271;5.508;1
12:10:09.293;5.508;1
12:10:09.317;5.508;1
12:10:09.340;5.508;1
12:10:09.362;5.496;1
12:10:09.386;5.496;1
12:10:09.409;5.496;1
12:10:09.431;5.496;1
12:10:09.455;5.496;1
12:10:09.476;5.496;1
12:10:09.502;5.496;1
12:10:09.522;5.496;1
12:10:09.547;5.496;1
12:10:09.571;5.496;1
12:10:09.592;5.496;1
12:10:09.614;5.496;1
12:10:09.637;5.496;1
12:10:09.663;5.496;1
12:10:09.687;5.519;1
12:10:09.707;5.519;1
12:10:09.731;5.519;1
12:10:09.753;5.519;1
12:10:09.778;5.519;1
12:10:09.800;5.519;1
12:10:09.824;5.531;1
12:10:09.846;5.531;1
12:10:09.868;5.531;1
12:10:09.890;5.531;1
12:10:09.913;5.531;1
12:10:09.937;5.531;1
12:10:09.960;5.531;1
12:10:09.984;5.531;1
12:10:10.008;5.519;1
12:10:10.031;5.519;1
12:10:10.051;5.519;1
12:10:10.074;5.519;1
12:10:10.098;5.519;1
12:10:10.123;5.519;1
12:10:10.145;5.508;1
12:10:10.167;5.508;1
12:10:10.189;5.508;1
12:10:10.212;5.508;1
12:10:10.235;5.508;1
12:10:10.260;5.508;1
12:10:10.283;5.508;1
12:10:10.303;5.496;1
12:10:10.326;5.496;1
12:10:10.349;5.496;1
12:10:10.372;5.496;1
12:10:10.395;5.496;1
12:10:10.418;5.496;1
12:10:10.441;5.496;1
12:10:10.464;5.496;1
12:10:10.487;5.496;1
12:10:10.510;5.496;1
12:10:10.533;5.496;1
12:10:10.556;5.496;1
12:10:10.580;5.496;1
12:10:10.602;5.496;1
12:10:10.628;5.496;1
12:10:10.650;5.496;1
12:10:10.671;5.496;1
12:10:10.695;5.496;1
12:10:10.719;5.496;1
12:10:10.740;5.496;1
12:10:10.763;5.496;1
12:10:10.786;5.496;1
12:10:10.810;5.485;1
12:10:10.833;5.485;1
12:10:10.855;5.485;1
12:10:10.880;5.485;1
12:10:10.901;5.485;1
12:10:10.924;5.485;1
12:10:10.947;5.485;1
12:10:10.972;5.485;1
12:10:10.994;5.485;1
12:10:11.017;5.485;1
12:10:11.039;5.485;1
12:10:11.065;5.485;1
12:10:11.088;5.485;1
12:10:11.110;5.473;1
12:10:11.131;5.473;1
12:10:11.155;5.473;1
12:10:11.179;5.473;1
12:10:11.200;5.473;1
12:10:11.226;5.473;1
12:10:11.248;5.45;1
12:10:11.270;5.45;1
12:10:11.294;5.45;1
12:10:11.317;5.45;1
12:10:11.338;5.45;1
12:10:11.361;5.45;1
12:10:11.385;5.45;1
12:10:11.407;5.45;1
12:10:11.430;5.426;1
12:10:11.453;5.426;1
12:10:11.477;5.426;1
12:10:11.499;5.426;1
12:10:11.523;5.426;1
12:10:11.545;5.426;1
12:10:11.569;5.403;1
12:10:11.592;5.403;1
12:10:11.614;5.403;1
12:10:11.640;5.403;1
12:10:11.662;5.403;1
12:10:11.684;5.403;1
12:10:11.706;5.403;1
12:10:11.729;5.392;1
12:10:11.753;5.392;1
12:10:11.775;5.392;1
12:10:11.798;5.392;1
12:10:11.822;5.392;1
12:10:11.844;5.392;1
12:10:11.869;5.392;1
12:10:11.891;5.38;1
12:10:11.914;5.38;1
12:10:11.937;5.38;1
12:10:11.959;5.38;1
12:10:11.987;5.38;1
12:10:12.007;5.38;1
12:10:12.030;5.38;1
12:10:12.052;5.368;1
12:10:12.074;5.368;1
12:10:12.097;5.368;1
12:10:12.120;5.368;1
12:10:12.143;5.368;1
12:10:12.169;5.368;1
12:10:12.189;5.368;1
12:10:12.212;5.357;1
12:10:12.235;5.357;1
12:10:12.258;5.357;1
12:10:12.284;5.357;1
12:10:12.306;5.357;1
12:10:12.329;5.357;1
12:10:12.351;5.345;1
12:10:12.375;5.345;1
12:10:12.398;5.345;1
12:10:12.422;5.345;1
12:10:12.444;5.345;1
12:10:12.466;5.345;1
12:10:12.488;5.345;1
12:10:12.511;5.345;1
12:10:12.535;5.345;1
12:10:12.558;5.345;1
12:10:12.583;5.345;1
12:10:12.604;5.345;1
12:10:12.628;5.345;1
12:10:12.650;5.345;1
12:10:12.674;5.345;1
12:10:12.695;5.357;1
12:10:12.719;5.357;1
12:10:12.741;5.357;1
12:10:12.767;5.357;1
12:10:12.789;5.357;1
12:10:12.810;5.357;1
12:10:12.834;5.357;1
12:10:12.858;5.357;1
12:10:12.884;5.345;1
12:10:12.905;5.345;1
12:10:12.925;5.345;1
12:10:12.948;5.345;1
12:10:12.971;5.345;1
12:10:12.996;5.345;1
12:10:13.020;5.322;1
12:10:13.041;5.322;1
12:10:13.065;5.322;1
12:10:13.086;5.322;1
12:10:13.112;5.322;1
12:10:13.134;5.322;1
12:10:13.156;5.322;1
12:10:13.180;5.322;1
12:10:13.202;5.31;1
12:10:13.226;5.31;1
12:10:13.249;5.31;1
12:10:13.272;5.31;1
12:10:13.295;5.31;1
12:10:13.317;5.31;1
12:10:13.339;5.31;1
12:10:13.362;5.31;1
12:10:13.386;5.31;1
12:10:13.409;5.31;1
12:10:13.431;5.31;1
12:10:13.455;5.31;1
12:10:13.479;5.31;1
12:10:13.502;5.322;1
12:10:13.525;5.322;1
12:10:13.547;5.322;1
12:10:13.569;5.322;1
12:10:13.594;5.322;1
12:10:13.617;5.322;1
12:10:13.641;5.322;1
12:10:13.661;5.322;1
12:10:13.686;5.322;1
12:10:13.707;5.322;1
12:10:13.730;5.322;1
12:10:13.754;5.322;1
12:10:13.777;5.322;1
12:10:13.799;5.322;1
12:10:13.824;5.322;1
12:10:13.845;5.322;1
12:10:13.869;5.322;1
12:10:13.893;5.322;1
12:10:13.914;5.322;1
12:10:13.938;5.322;1
12:10:13.961;5.322;1
12:10:13.984;5.345;1
12:10:14.009;5.345;1
12:10:14.031;5.345;1
12:10:14.053;5.345;1
12:10:14.075;5.345;1
12:10:14.101;5.345;1
12:10:14.122;5.357;1
12:10:14.147;5.357;1
12:10:14.167;5.357;1
12:10:14.191;5.357;1
12:10:14.215;5.357;1
12:10:14.239;5.357;1
12:10:14.261;5.357;1
12:10:14.284;5.357;1
12:10:14.305;5.345;1
12:10:14.328;5.345;1
12:10:14.352;5.345;1
12:10:14.374;5.345;1
12:10:14.397;5.345;1
12:10:14.421;5.345;1
12:10:14.446;5.334;1
12:10:14.468;5.334;1
12:10:14.491;5.334;1
12:10:14.513;5.334;1
12:10:14.535;5.334;1
12:10:14.561;5.334;1
12:10:14.584;5.334;1
12:10:14.607;5.334;1
12:10:14.630;5.334;1
12:10:14.651;5.334;1
12:10:14.675;5.334;1
12:10:14.696;5.334;1
12:10:14.722;5.334;1
12:10:14.743;5.334;1
12:10:14.766;5.322;1
12:10:14.790;5.322;1
12:10:14.811;5.322;1
12:10:14.834;5.322;1
12:10:14.857;5.322;1
12:10:14.883;5.322;1
12:10:14.904;5.322;1
12:10:14.926;5.322;1
12:10:14.949;5.31;1
12:10:14.973;5.31;1
12:10:14.995;5.31;1
12:10:15.020;5.31;1
12:10:15.043;5.31;1
12:10:15.065;5.31;1
12:10:15.087;5.334;1
12:10:15.111;5.334;1
12:10:15.135;5.334;1
12:10:15.157;5.334;1
12:10:15.181;5.334;1
12:10:15.205;5.334;1
12:10:15.226;5.334;1
12:10:15.248;5.334;1
12:10:15.272;5.31;1
12:10:15.295;5.31;1
12:10:15.319;5.31;1
12:10:15.342;5.31;1
12:10:15.365;5.31;1
12:10:15.390;5.31;1
12:10:15.411;5.31;1
12:10:15.434;5.264;1
12:10:15.457;5.264;1
12:10:15.480;5.264;1
12:10:15.504;5.264;1
12:10:15.525;5.264;1
12:10:15.547;5.264;1
12:10:15.571;5.264;1
12:10:15.593;5.264;1
12:10:15.617;5.264;1
12:10:15.639;5.264;1
12:10:15.662;5.264;1
12:10:15.687;5.264;1
12:10:15.711;5.264;1
12:10:15.732;5.264;1
12:10:15.756;5.264;1
12:10:15.779;5.264;1
12:10:15.803;5.264;1
12:10:15.826;5.264;1
12:10:15.849;5.264;1
12:10:15.869;5.264;1
12:10:15.894;5.264;1
12:10:15.916;5.264;1
12:10:15.940;5.264;1
12:10:15.963;5.264;1
12:10:15.988;5.264;1
12:10:16.009;5.264;1
12:10:16.032;5.264;1
12:10:16.055;5.264;1
12:10:16.077;5.252;1
12:10:16.100;5.252;1
12:10:16.123;5.252;1
12:10:16.146;5.252;1
12:10:16.169;5.252;1
12:10:16.192;5.252;1
12:10:16.215;5.241;1
12:10:16.238;5.241;1
12:10:16.261;5.241;1
12:10:16.285;5.241;1
12:10:16.308;5.241;1
12:10:16.331;5.241;1
12:10:16.353;5.241;1
12:10:16.376;5.241;1
12:10:16.401;5.229;1
12:10:16.425;5.229;1
12:10:16.446;5.229;1
12:10:16.470;5.229;1
12:10:16.492;5.229;1
12:10:16.514;5.229;1
12:10:16.539;5.217;1
12:10:16.561;5.217;1
12:10:16.587;5.217;1
12:10:16.607;5.217;1
12:10:16.630;5.217;1
12:10:16.653;5.217;1
12:10:16.677;5.217;1
12:10:16.699;5.217;1
12:10:16.722;5.217;1
12:10:16.744;5.217;1
12:10:16.767;5.217;1
12:10:16.790;5.217;1
12:10:16.813;5.217;1
12:10:16.836;5.217;1
12:10:16.859;5.206;1
12:10:16.883;5.206;1
12:10:16.904;5.206;1
12:10:16.927;5.206;1
12:10:16.950;5.206;1
12:10:16.973;5.194;1
12:10:16.996;5.194;1
12:10:17.019;5.194;1
12:10:17.042;5.194;1
12:10:17.065;5.194;1
12:10:17.089;5.194;1
12:10:17.111;5.194;1
12:10:17.134;5.194;1
12:10:17.157;5.182;1
12:10:17.182;5.182;1
12:10:17.205;5.182;1
12:10:17.228;5.182;1
12:10:17.249;5.182;1
12:10:17.273;5.182;1
12:10:17.296;5.182;1
12:10:17.318;5.171;1
12:10:17.342;5.171;1
12:10:17.364;5.171;1
12:10:17.387;5.171;1
12:10:17.413;5.171;1
12:10:17.435;5.171;1
12:10:17.456;5.171;1
12:10:17.481;5.171;1
12:10:17.503;5.159;1
12:10:17.525;5.159;1
12:10:17.548;5.159;1
12:10:17.571;5.159;1
12:10:17.594;5.159;1
12:10:17.617;5.159;1
12:10:17.642;5.159;1
12:10:17.664;5.159;1
12:10:17.686;5.159;1
12:10:17.709;5.159;1
12:10:17.732;5.159;1
12:10:17.755;5.159;1
12:10:17.780;5.159;1
12:10:17.801;5.159;1
12:10:17.824;5.159;1
12:10:17.847;5.159;1
12:10:17.870;5.159;1
12:10:17.894;5.159;1
12:10:17.917;5.159;1
12:10:17.940;5.159;1
12:10:17.963;5.159;1
12:10:17.988;5.159;1
12:10:18.008;5.159;1
12:10:18.031;5.159;1
12:10:18.056;5.159;1
12:10:18.079;5.159;1
12:10:18.103;5.159;1
12:10:18.123;5.159;1
12:10:18.148;5.159;1
12:10:18.169;5.159;1
12:10:18.194;5.159;1
12:10:18.216;5.159;1
12:10:18.238;5.159;1
12:10:18.264;5.159;1
12:10:18.284;5.159;1
12:10:18.307;5.159;1
12:10:18.331;5.159;1
12:10:18.354;5.159;1
12:10:18.378;5.159;1
12:10:18.401;5.159;1
12:10:18.423;5.159;1
12:10:18.445;5.159;1
12:10:18.471;5.159;1
12:10:18.492;5.159;1
12:10:18.514;5.159;1
12:10:18.540;5.159;1
12:10:18.561;5.159;1
12:10:18.585;5.159;1
12:10:18.608;5.136;1
12:10:18.629;5.136;1
12:10:18.652;5.136;1
12:10:18.675;5.136;1
12:10:18.698;5.136;1
12:10:18.722;5.136;1
12:10:18.745;5.124;1
12:10:18.767;5.124;1
12:10:18.791;5.124;1
12:10:18.815;5.124;1
12:10:18.836;5.124;1
12:10:18.862;5.124;1
12:10:18.884;5.124;1
12:10:18.908;5.124;1
12:10:18.928;5.136;1
12:10:18.953;5.136;1
12:10:18.974;5.136;1
12:10:18.998;5.136;1
12:10:19.022;5.136;1
12:10:19.043;5.136;1
12:10:19.069;5.148;1
12:10:19.089;5.148;1
12:10:19.112;5.148;1
12:10:19.138;5.148;1
12:10:19.158;5.148;1
12:10:19.184;5.148;1
12:10:19.204;5.148;1
12:10:19.227;5.148;1
12:10:19.250;5.148;1
12:10:19.275;5.171;1
12:10:19.296;5.171;1
12:10:19.322;5.171;1
12:10:19.342;5.171;1
12:10:19.368;5.171;1
12:10:19.388;5.182;1
12:10:19.412;5.182;1
12:10:19.435;5.182;1
12:10:19.459;5.182;1
12:10:19.483;5.182;1
12:10:19.506;5.182;1
12:10:19.528;5.182;1
12:10:19.550;5.182;1
12:10:19.574;5.182;1
12:10:19.595;5.182;1
12:10:19.619;5.182;1
12:10:19.641;5.182;1
12:10:19.664;5.182;1
12:10:19.689;5.182;1
12:10:19.710;5.182;1
12:10:19.733;5.182;1
12:10:19.756;5.182;1
12:10:19.781;5.182;1
12:10:19.803;5.182;1
12:10:19.825;5.182;1
12:10:19.850;5.182;1
12:10:19.871;5.182;1
12:10:19.894;5.182;1
12:10:19.917;5.194;1
12:10:19.940;5.194;1
12:10:19.963;5.194;1
12:10:19.986;5.194;1
12:10:20.010;5.194;1
12:10:20.034;5.194;1
12:10:20.056;5.206;1
12:10:20.084;5.206;1
12:10:20.104;5.206;1
12:10:20.124;5.206;1
12:10:20.149;5.206;1
12:10:20.171;5.206;1
12:10:20.193;5.206;1
12:10:20.216;5.206;1
12:10:20.242;5.206;1
12:10:20.262;5.206;1
12:10:20.288;5.206;1
12:10:20.310;5.206;1
12:10:20.331;5.206;1
12:10:20.355;5.206;1
12:10:20.379;5.217;1
12:10:20.400;5.217;1
12:10:20.423;5.217;1
12:10:20.447;5.217;1
12:10:20.469;5.217;1
12:10:20.492;5.217;1
12:10:20.515;5.229;1
12:10:20.540;5.229;1
12:10:20.562;5.229;1
12:10:20.587;5.229;1
12:10:20.607;5.229;1
12:10:20.630;5.229;1
12:10:20.653;5.229;1
12:10:20.676;5.229;1
12:10:20.699;5.241;1
12:10:20.722;5.241;1
12:10:20.745;5.241;1
12:10:20.768;5.241;1
12:10:20.791;5.241;1
12:10:20.815;5.241;1
12:10:20.839;5.241;1
12:10:20.860;5.241;1
12:10:20.886;5.241;1
12:10:20.907;5.241;1
12:10:20.930;5.241;1
12:10:20.954;5.241;1
12:10:20.977;5.241;1
12:10:20.999;5.241;1
12:10:21.022;5.241;1
12:10:21.044;5.241;1
12:10:21.068;5.241;1
12:10:21.091;5.241;1
12:10:21.113;5.241;1
12:10:21.136;5.241;1
12:10:21.159;5.252;1
12:10:21.182;5.252;1
12:10:21.206;5.252;1
12:10:21.228;5.252;1
12:10:21.251;5.252;1
12:10:21.274;5.252;1
12:10:21.300;5.252;1
12:10:21.320;5.252;1
12:10:21.345;5.264;1
12:10:21.369;5.264;1
12:10:21.390;5.264;1
12:10:21.413;5.264;1
12:10:21.435;5.264;1
12:10:21.459;5.264;1
12:10:21.483;5.275;1
12:10:21.507;5.275;1
12:10:21.528;5.275;1
12:10:21.550;5.275;1
12:10:21.573;5.275;1
12:10:21.597;5.275;1
12:10:21.621;5.287;1
12:10:21.643;5.287;1
12:10:21.665;5.287;1
12:10:21.688;5.287;1
12:10:21.712;5.287;1
12:10:21.735;5.287;1
12:10:21.757;5.287;1
12:10:21.784;5.287;1
12:10:21.803;5.299;1
12:10:21.829;5.299;1
12:10:21.850;5.299;1
12:10:21.873;5.299;1
12:10:21.896;5.299;1
12:10:21.920;5.299;1
12:10:21.942;5.299;1
12:10:21.964;5.31;1
12:10:21.988;5.31;1
12:10:22.012;5.31;1
12:10:22.034;5.31;1
12:10:22.057;5.31;1
12:10:22.083;5.31;1
12:10:22.105;5.31;1
12:10:22.126;5.31;1
12:10:22.150;5.334;1
12:10:22.172;5.334;1
12:10:22.194;5.334;1
12:10:22.217;5.334;1
12:10:22.240;5.334;1
12:10:22.263;5.334;1
12:10:22.287;5.357;1
12:10:22.309;5.357;1
12:10:22.332;5.357;1
12:10:22.355;5.357;1
12:10:22.381;5.357;1
12:10:22.404;5.357;1
12:10:22.425;5.357;1
12:10:22.447;5.357;1
12:10:22.471;5.368;1
12:10:22.495;5.368;1
12:10:22.517;5.368;1
12:10:22.540;5.368;1
12:10:22.563;5.368;1
12:10:22.587;5.368;1
12:10:22.609;5.368;1
12:10:22.632;5.368;1
12:10:22.655;5.368;1
12:10:22.678;5.368;1
12:10:22.701;5.368;1
12:10:22.724;5.368;1
12:10:22.749;5.368;1
12:10:22.770;5.368;1
12:10:22.795;5.368;1
12:10:22.816;5.368;1
